Time,Nedbør (12 t),Lufttemperatur,Middelvind,Vindretning,Temperature,Humidity,Temperature inlet
2023-05-11 06:00:00,0.0,0.0,,,19.52,46.36,
2023-05-11 06:00:00,0.0,2.5,4.1,279.0,19.52,46.36,
2023-05-11 07:00:00,0.0,2.2,2.7,283.0,20.285,44.455,
2023-05-11 07:00:00,0.0,-0.1,,,20.285,44.455,
2023-05-11 08:00:00,0.0,0.0,,,21.106,42.228,
2023-05-11 08:00:00,0.0,2.1,7.4,245.0,21.106,42.228,
2023-05-11 09:00:00,0.0,-0.3,,,20.288,44.717,
2023-05-11 09:00:00,0.0,1.5,1.5,283.0,20.288,44.717,
2023-05-11 10:00:00,0.0,0.1,,,19.726,45.489,
2023-05-11 10:00:00,0.0,2.1,6.0,230.0,19.726,45.489,
2023-05-11 11:00:00,0.0,0.0,,,19.733,45.459,
2023-05-11 11:00:00,0.0,1.6,3.1,294.0,19.733,45.459,
2023-05-11 12:00:00,5.5,-0.1,,,19.374,47.44,
2023-05-11 12:00:00,0.0,1.7,0.8,244.0,19.374,47.44,
2023-05-11 13:00:00,0.0,0.9,,,20.472,46.166,
2023-05-11 13:00:00,0.0,3.1,4.1,261.0,20.472,46.166,
2023-05-11 14:00:00,0.0,3.6,1.8,252.0,20.882,45.423,
2023-05-11 14:00:00,0.0,1.7,,,20.882,45.423,
2023-05-11 15:00:00,0.0,2.7,,,21.434,45.429,
2023-05-11 15:00:00,0.0,5.3,2.8,212.0,21.434,45.429,
2023-05-11 16:00:00,0.0,3.3,,,21.735,44.306,
2023-05-11 16:00:00,0.0,5.2,6.6,265.0,21.735,44.306,
2023-05-11 17:00:00,0.0,2.3,,,21.423,44.687,
2023-05-11 17:00:00,0.0,4.1,3.7,246.0,21.423,44.687,
2023-05-11 18:00:00,0.0,2.1,,,21.153,45.043,
2023-05-11 18:00:00,0.0,3.4,4.2,275.0,21.153,45.043,
2023-05-11 19:00:00,0.0,3.1,,,22.723,41.709,
2023-05-11 19:00:00,0.0,5.2,6.3,274.0,22.723,41.709,
2023-05-11 20:00:00,0.0,2.6,,,21.083,43.385,
2023-05-11 20:00:00,0.0,5.5,6.8,249.0,21.083,43.385,
2023-05-11 21:00:00,0.0,4.4,7.1,253.0,21.008,42.031,
2023-05-11 21:00:00,0.0,1.7,,,21.008,42.031,
2023-05-11 22:00:00,0.0,4.0,5.3,251.0,21.298,42.35,
2023-05-11 22:00:00,0.0,2.2,,,21.298,42.35,
2023-05-11 23:00:00,0.0,2.3,,,21.196,42.76,
2023-05-11 23:00:00,0.0,4.6,7.7,259.0,21.196,42.76,
2023-05-12 00:00:00,0.0,4.1,7.2,229.0,21.055,42.93,
2023-05-12 00:00:00,1.6,1.8,,,21.055,42.93,
2023-05-12 01:00:00,0.0,2.8,7.1,239.0,20.957,43.852,
2023-05-12 01:00:00,0.0,0.3,,,20.957,43.852,
2023-05-12 02:00:00,0.0,0.3,,,20.757,44.076,
2023-05-12 02:00:00,0.0,2.5,6.9,240.0,20.757,44.076,
2023-05-12 03:00:00,0.0,0.1,,,20.648,43.446,
2023-05-12 03:00:00,0.0,2.4,6.7,244.0,20.648,43.446,
2023-05-12 04:00:00,0.0,3.0,6.9,233.0,21.065,41.745,
2023-05-12 04:00:00,0.0,0.2,,,21.065,41.745,
2023-05-12 05:00:00,0.0,3.7,6.3,232.0,20.494,43.636,
2023-05-12 05:00:00,0.0,0.5,,,20.494,43.636,
2023-05-12 06:00:00,0.0,3.9,6.6,244.0,20.248,44.826,
2023-05-12 06:00:00,0.0,0.9,,,20.248,44.826,
2023-05-12 07:00:00,0.0,3.7,4.6,271.0,19.952,45.308,
2023-05-12 07:00:00,0.0,1.1,,,19.952,45.308,
2023-05-12 08:00:00,0.0,2.6,4.0,284.0,20.054,46.163,
2023-05-12 08:00:00,0.0,0.4,,,20.054,46.163,
2023-05-12 09:00:00,0.0,4.3,3.5,274.0,20.496,45.347,
2023-05-12 09:00:00,0.0,1.7,,,20.496,45.347,
2023-05-12 10:00:00,0.0,4.0,4.7,270.0,21.783,43.467,
2023-05-12 10:00:00,0.0,1.9,,,21.783,43.467,
2023-05-12 11:00:00,0.0,2.7,,,21.882,44.035,
2023-05-12 11:00:00,0.0,5.0,3.5,310.0,21.882,44.035,
2023-05-12 12:00:00,0.0,3.9,2.2,308.0,21.777,44.115,
2023-05-12 12:00:00,12.4,3.0,,,21.777,44.115,
2023-05-12 13:00:00,0.0,6.6,6.2,258.0,22.583,43.358,
2023-05-12 13:00:00,0.0,3.5,,,22.583,43.358,
2023-05-12 14:00:00,0.0,4.1,,,23.304,41.825,
2023-05-12 14:00:00,0.0,7.2,5.0,271.0,23.304,41.825,
2023-05-12 15:00:00,0.0,5.3,,,23.283,41.032,
2023-05-12 15:00:00,0.0,7.7,4.6,281.0,23.283,41.032,
2023-05-12 16:00:00,0.0,5.4,,,23.221,40.61,
2023-05-12 16:00:00,0.0,7.8,3.7,289.0,23.221,40.61,
2023-05-12 17:00:00,0.0,7.0,5.2,253.0,23.178,41.217,
2023-05-12 17:00:00,0.0,5.0,,,23.178,41.217,
2023-05-12 18:00:00,0.0,5.5,,,23.004,41.223,
2023-05-12 18:00:00,0.0,8.7,6.7,258.0,23.004,41.223,
2023-05-12 19:00:00,0.0,4.9,,,22.785,41.148,
2023-05-12 19:00:00,0.0,7.3,5.1,286.0,22.785,41.148,
2023-05-12 20:00:00,0.0,6.9,,,22.533,41.246,
2023-05-12 20:00:00,0.0,9.4,6.8,262.0,22.533,41.246,
2023-05-12 21:00:00,0.0,5.8,,,22.304,41.407,
2023-05-12 21:00:00,0.0,8.7,7.5,268.0,22.304,41.407,
2023-05-12 22:00:00,0.0,7.6,4.7,290.0,22.052,41.426,
2023-05-12 22:00:00,0.0,5.0,,,22.052,41.426,
2023-05-12 23:00:00,0.0,7.5,6.7,265.0,21.817,41.377,
2023-05-12 23:00:00,0.0,4.5,,,21.817,41.377,
2023-05-13 00:00:00,0.0,6.1,4.4,284.0,21.596,41.476,
2023-05-13 00:00:00,2.8,3.9,,,21.596,41.476,
2023-05-13 01:00:00,0.0,3.8,,,21.446,41.807,
2023-05-13 01:00:00,0.0,6.1,4.7,275.0,21.446,41.807,
2023-05-13 02:00:00,0.0,4.8,4.5,265.0,21.223,42.034,
2023-05-13 02:00:00,0.0,3.4,,,21.223,42.034,
2023-05-13 03:00:00,0.0,1.8,,,20.998,42.362,
2023-05-13 03:00:00,0.0,4.0,1.7,306.0,20.998,42.362,
