Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Maksimumstemperatur (1 t);Minimumstemperatur (1 t);Nedbør (12 t);Nedbør (1 t);Lufttemperatur;Maksimumstemperatur (1 t);Minimumstemperatur (1 t);Nedbør (12 t)
Molde - Nøisomhed;SN62290;10.05.2023 01:00;0;11,1;11,6;10,8;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 02:00;0;10,5;11,4;10;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 03:00;0;10,8;11,1;10,4;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 04:00;0;10,4;10,7;10;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 05:00;0;10;10,6;9,8;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 06:00;0;10,6;10,6;10,1;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 07:00;0;10,6;10,8;9,8;0,2;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 08:00;0;11,8;12;10;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 09:00;0;11,3;12,3;11,2;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 10:00;0;11,8;12,2;11,4;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 11:00;0;12,4;12,8;11,8;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 12:00;0;14;14,2;12,3;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 13:00;0;14,2;14,6;13,7;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 14:00;0;14,6;15,1;14;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 15:00;0;14,4;14,8;14;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 16:00;0;13,6;14,6;13,6;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 17:00;0;13,7;13,7;12,9;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 18:00;0;11,7;13,7;11,7;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 19:00;0,1;11,8;12;11,5;0,1;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 20:00;0;11,3;11,9;11;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 21:00;0;11;11,4;10,9;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 22:00;0;11,1;11,5;10,8;-;;;;;
Molde - Nøisomhed;SN62290;10.05.2023 23:00;0;10,6;11,2;10,6;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 00:00;0;10,2;11;10,2;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 01:00;0;10,4;10,5;10,1;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 02:00;0;10,2;10,5;10;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 03:00;0;9,8;10,2;9,8;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 04:00;0;9,6;9,8;9,4;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 05:00;0;9,2;9,6;9,1;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 06:00;0;9,5;9,5;8,9;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 07:00;0;9,6;10,1;9,5;0;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 08:00;0;10,1;10,1;9,6;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 09:00;0;10,4;10,4;10;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 10:00;0;10,8;10,9;10,4;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 11:00;0;11;11;10,5;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 12:00;0;11,5;11,5;10,7;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 13:00;0;11,6;11,9;11,3;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 14:00;0;12,3;12,4;11,6;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 15:00;0;11,7;12,2;11,6;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 16:00;0;12,3;12,3;11,6;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 17:00;0;11,9;13,5;11,9;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 18:00;0;11,1;11,9;11;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 19:00;0;11,6;11,9;11,2;0;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 20:00;0;10,9;11,7;10,8;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 21:00;0;11;11,2;10,8;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 22:00;0;10,5;11,1;10,5;-;;;;;
Molde - Nøisomhed;SN62290;11.05.2023 23:00;0;9,8;10,5;9,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 00:00;0;10,3;10,5;9,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 01:00;0;9,6;10,3;9,6;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 02:00;0;9,8;9,9;9,5;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 03:00;0,1;9,1;9,7;9,1;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 04:00;0,1;8,8;9,1;8,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 05:00;0;8,7;8,8;8,3;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 06:00;0;8,9;9;8,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 07:00;0;9,3;9,3;8,8;0,2;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 08:00;0,1;9,6;9,6;9,2;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 09:00;0;10,3;10,5;9,6;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 10:00;0;10,5;11,3;10,1;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 11:00;0;11,7;11,7;10,4;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 12:00;0;11,8;12,7;11,6;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 13:00;0;11,8;12,1;11,3;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 14:00;0;12,8;12,8;11,5;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 15:00;0;14;14,2;12,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 16:00;0;13,7;14,2;13,7;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 17:00;0;13,4;13,9;13,4;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 18:00;0;11,9;13,6;11,8;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 19:00;0;12,1;12,2;11,7;0,1;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 20:00;0;11,2;12,1;11,2;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 21:00;0;11,1;11,6;11,1;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 22:00;0;10,5;11,1;10,4;-;;;;;
Molde - Nøisomhed;SN62290;12.05.2023 23:00;0;10,8;10,8;10,5;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 00:00;0;10,1;10,8;10,1;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 01:00;0;9,8;10,1;9,8;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 02:00;0;9,7;9,9;9,6;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 03:00;0;9,4;9,6;9,2;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 04:00;0;9,3;9,7;9,3;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 05:00;0;9,2;9,6;9,2;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 06:00;0;9,1;9,2;9,1;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 07:00;0;9,3;9,4;9,1;0;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 08:00;0;9,8;9,8;9,1;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 09:00;0;10,1;10,2;9,7;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 10:00;0;11,2;11,2;10;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 11:00;0;11,7;12,5;11,1;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 12:00;0;13,3;13,4;11,6;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 13:00;0;12,8;13,4;12,6;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 14:00;0;14;14;12,9;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 15:00;0;14,3;14,5;13,7;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 16:00;0;15,1;15,1;13,9;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 17:00;0;15,6;15,9;14,1;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 18:00;0;15,4;15,6;13,8;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 19:00;0;13,7;15,3;13,7;0;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 20:00;0;12,8;13,7;12,8;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 21:00;0;10,2;12,7;10,2;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 22:00;0;9,9;10,8;9,8;-;;;;;
Molde - Nøisomhed;SN62290;13.05.2023 23:00;0;9,4;10;8,7;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 00:00;0;8;9,4;8;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 01:00;0;7,5;7,9;7,4;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 02:00;0;7,3;7,9;7;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 03:00;0;6,9;7,9;6,6;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 04:00;0;6,7;7,1;6,5;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 05:00;0;7,3;7,3;6,8;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 06:00;0;8,3;8,4;7,3;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 07:00;0;9,3;9,3;8,2;0;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 08:00;0;10,1;10,4;9;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 09:00;0;11,2;11,3;10,1;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 10:00;0;15,1;15,1;11,1;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 11:00;0;16,2;16,6;14,1;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 12:00;0;18,7;19,2;16,4;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 13:00;0;19,1;19,8;17,7;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 14:00;0;19,4;19,9;19,1;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 15:00;0;18,6;19,8;18,6;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 16:00;0;18,7;19,1;18,3;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 17:00;0;17,8;19,1;17,3;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 18:00;0;18,2;19,5;17,9;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 19:00;0;15,8;18;15,8;0;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 20:00;0;13,7;16,2;13,7;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 21:00;0;12,6;13,7;12,6;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 22:00;0;11,3;12,5;10,8;-;;;;;
Molde - Nøisomhed;SN62290;14.05.2023 23:00;0;10,8;11,9;10,6;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 00:00;0;11,2;11,4;10,3;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 01:00;0;10,1;11,2;10,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 02:00;0;9,1;10,2;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 03:00;0;9,1;9,4;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 04:00;0;9;9,1;9;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 05:00;0;8,7;9;8,7;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 06:00;0;8,9;8,9;8,6;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 07:00;0;9,1;9,1;8,8;0;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 08:00;0;9,4;9,4;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 09:00;0;10;10;9,5;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 10:00;0;9,6;10,3;9,6;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 11:00;0;9,5;9,6;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 12:00;0,4;9,3;9,7;9,2;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 13:00;0,2;9,3;9,6;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 14:00;0;9,8;9,9;9,3;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 15:00;0;9,9;10,2;9,5;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 16:00;0;9,8;10,1;9,7;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 17:00;0;10,1;10,6;9,7;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 18:00;0;9,9;10,2;9,8;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 19:00;0;9,4;9,9;9,4;0,6;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 20:00;0;9,3;9,5;9,3;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 21:00;0;9,1;9,3;9,1;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 22:00;0;8,9;9,2;8,9;-;;;;;
Molde - Nøisomhed;SN62290;15.05.2023 23:00;0;8,6;8,9;8,6;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 00:00;0;8,5;8,7;8,4;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 01:00;0,1;7,8;8,5;7,8;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 02:00;0,1;7,5;7,8;7,4;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 03:00;0;7,4;7,6;7,3;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 04:00;0;7,4;7,5;7,3;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 05:00;0;7,7;7,7;7,4;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 06:00;0;7,9;8,1;7,7;-;;;;;
Molde - Nøisomhed;SN62290;16.05.2023 07:00;0;9,5;9,8;7,7;0,2;;;;;
