Navn;Stasjon;Tid(norsk normaltid);Nedbør (12 t);Lufttemperatur;Middelvind;Vindretning
Molde - Hindalsrøra;SN62295;01.05.2023 07:00;5,5;-0,1;-;-
Molde - Hindalsrøra;SN62295;01.05.2023 19:00;1,6;1,8;-;-
Molde - Hindalsrøra;SN62295;02.05.2023 07:00;12,4;3;-;-
Molde - Hindalsrøra;SN62295;02.05.2023 19:00;2,8;3,9;-;-
Molde - Hindalsrøra;SN62295;03.05.2023 07:00;3,1;1,2;-;-
Molde - Hindalsrøra;SN62295;03.05.2023 19:00;0;2,4;-;-
Molde - Hindalsrøra;SN62295;04.05.2023 07:00;0;0,9;-;-
Molde - Hindalsrøra;SN62295;04.05.2023 19:00;0;4,9;-;-
Molde - Hindalsrøra;SN62295;05.05.2023 07:00;0;2;-;-
Molde - Hindalsrøra;SN62295;05.05.2023 19:00;0;7,2;-;-
Molde - Hindalsrøra;SN62295;06.05.2023 07:00;0,2;4,1;-;-
Molde - Hindalsrøra;SN62295;06.05.2023 19:00;0;9,3;-;-
Molde - Hindalsrøra;SN62295;07.05.2023 07:00;0;6,5;-;-
Molde - Hindalsrøra;SN62295;07.05.2023 19:00;0;11;-;-
Molde - Hindalsrøra;SN62295;08.05.2023 07:00;0,3;8;-;-
Molde - Hindalsrøra;SN62295;08.05.2023 19:00;0,4;12,8;-;-
Molde - Hindalsrøra;SN62295;09.05.2023 07:00;0,8;10,9;-;-
Molde - Hindalsrøra;SN62295;09.05.2023 19:00;0,8;11;-;-
Molde - Hindalsrøra;SN62295;10.05.2023 07:00;0,3;11,6;-;-
Molde - Hindalsrøra;SN62295;10.05.2023 19:00;0,1;9,4;-;-
Molde - Hindalsrøra;SN62295;11.05.2023 07:00;0,1;7,7;-;-
Molde - Hindalsrøra;SN62295;11.05.2023 19:00;0;9,5;-;-
Molde - Hindalsrøra;SN62295;12.05.2023 07:00;0;7,5;-;-
Molde - Hindalsrøra;SN62295;12.05.2023 19:00;0;9,2;-;-
Molde - Hindalsrøra;SN62295;13.05.2023 07:00;0;7,1;-;-
Molde - Hindalsrøra;SN62295;13.05.2023 19:00;3,9;10,4;-;-
Molde - Hindalsrøra;SN62295;14.05.2023 07:00;0,4;8,8;-;-
Molde - Hindalsrøra;SN62295;14.05.2023 19:00;0;13,2;-;-
Molde - Hindalsrøra;SN62295;15.05.2023 07:00;0;6;-;-
Molde - Hindalsrøra;SN62295;15.05.2023 19:00;0,7;6,8;-;-
Molde - Hindalsrøra;SN62295;16.05.2023 07:00;0,3;5,9;-;-
Molde - Hindalsrøra;SN62295;16.05.2023 19:00;2,5;2,2;-;-
Molde - Hindalsrøra;SN62295;17.05.2023 07:00;13,2;1,9;-;-
Molde - Hindalsrøra;SN62295;17.05.2023 19:00;1,6;2,9;-;-
Molde - Hindalsrøra;SN62295;18.05.2023 07:00;0,6;4,2;-;-
Molde - Hindalsrøra;SN62295;18.05.2023 19:00;0;12,1;-;-
Molde - Hindalsrøra;SN62295;19.05.2023 07:00;0;12;-;-
Molde - Hindalsrøra;SN62295;19.05.2023 19:00;0;9,6;-;-
Molde - Hindalsrøra;SN62295;20.05.2023 07:00;0,2;8,8;-;-
Molde - Hindalsrøra;SN62295;20.05.2023 19:00;0;12,1;-;-
Molde - Hindalsrøra;SN62295;21.05.2023 07:00;0;10,8;-;-
Molde - Hindalsrøra;SN62295;21.05.2023 19:00;0;9,1;-;-
Molde - Hindalsrøra;SN62295;22.05.2023 07:00;0;8,1;-;-
Molde - Hindalsrøra;SN62295;22.05.2023 19:00;0;9,7;-;-
Molde - Hindalsrøra;SN62295;23.05.2023 07:00;0;5,3;-;-
Molde - Hindalsrøra;SN62295;23.05.2023 19:00;0;8,3;-;-
Molde - Hindalsrøra;SN62295;24.05.2023 07:00;3,8;9,6;-;-
Molde - Hindalsrøra;SN62295;24.05.2023 19:00;0;7,1;-;-
Molde - Hindalsrøra;SN62295;25.05.2023 07:00;3;5,4;-;-
Molde - Hindalsrøra;SN62295;25.05.2023 19:00;10,7;4,4;-;-
Molde - Hindalsrøra;SN62295;26.05.2023 07:00;9;4,9;-;-
Molde - Hindalsrøra;SN62295;26.05.2023 19:00;0;7,5;-;-
Molde - Hindalsrøra;SN62295;27.05.2023 07:00;0,7;7,9;-;-
Molde - Hindalsrøra;SN62295;27.05.2023 19:00;1,2;6,8;-;-
Molde - Hindalsrøra;SN62295;28.05.2023 07:00;4,4;3,5;-;-
Molde - Hindalsrøra;SN62295;28.05.2023 19:00;8,4;5,4;-;-
Molde - Hindalsrøra;SN62295;29.05.2023 07:00;0,5;3,8;-;-
Molde - Hindalsrøra;SN62295;29.05.2023 19:00;11;8,3;-;-
Molde - Hindalsrøra;SN62295;30.05.2023 07:00;0;7,3;-;-
Molde - Hindalsrøra;SN62295;30.05.2023 19:00;0;9,8;-;-
Molde - Hindalsrøra;SN62295;31.05.2023 07:00;4,1;6,2;-;-
Molde - Hindalsrøra;SN62295;31.05.2023 19:00;2;5,9;-;-
Molde - Hindalsrøra;SN62295;01.06.2023 07:00;3;3,6;-;-
Molde - Hindalsrøra;SN62295;01.06.2023 19:00;3,1;3,9;-;-
Molde - Hindalsrøra;SN62295;02.06.2023 07:00;0;4,4;-;-
Molde - Hindalsrøra;SN62295;02.06.2023 19:00;0,1;6,5;-;-
Molde - Hindalsrøra;SN62295;03.06.2023 07:00;0,2;7,5;-;-
Molde - Hindalsrøra;SN62295;03.06.2023 19:00;0;6,9;-;-
Molde - Hindalsrøra;SN62295;04.06.2023 07:00;0;6,6;-;-
Molde - Hindalsrøra;SN62295;04.06.2023 19:00;0;8;-;-
Molde - Hindalsrøra;SN62295;05.06.2023 07:00;0;6,9;-;-
Molde - Hindalsrøra;SN62295;05.06.2023 19:00;0;8;-;-
Molde - Hindalsrøra;SN62295;06.06.2023 07:00;1,9;6,4;-;-
Molde - Hindalsrøra;SN62295;06.06.2023 19:00;0,9;8,6;-;-
Molde - Hindalsrøra;SN62295;07.06.2023 07:00;0;8;-;-
Molde - Hindalsrøra;SN62295;07.06.2023 19:00;0;8,4;-;-
Molde - Hindalsrøra;SN62295;08.06.2023 07:00;0;6,8;-;-
Molde - Hindalsrøra;SN62295;08.06.2023 19:00;0;11,3;-;-
Molde - Hindalsrøra;SN62295;09.06.2023 07:00;0;9,7;-;-
Molde - Hindalsrøra;SN62295;09.06.2023 19:00;0;18,7;-;-
Molde - Hindalsrøra;SN62295;10.06.2023 07:00;0;12,9;-;-
Molde - Hindalsrøra;SN62295;10.06.2023 19:00;0;18,4;-;-
Molde - Hindalsrøra;SN62295;11.06.2023 07:00;0,1;14,4;-;-
Molde - Hindalsrøra;SN62295;11.06.2023 19:00;0;17,1;-;-
Molde - Hindalsrøra;SN62295;12.06.2023 07:00;0;13,4;-;-
Molde - Hindalsrøra;SN62295;12.06.2023 19:00;0;15,9;-;-
Molde - Hindalsrøra;SN62295;13.06.2023 07:00;4,1;13,4;-;-
Molde - Hindalsrøra;SN62295;13.06.2023 19:00;0;18,2;-;-
Molde - Hindalsrøra;SN62295;14.06.2023 07:00;0;13,3;-;-
Molde - Hindalsrøra;SN62295;14.06.2023 19:00;0;19,9;-;-
Molde - Hindalsrøra;SN62295;15.06.2023 07:00;0;13,2;-;-
Molde - Hindalsrøra;SN62295;15.06.2023 19:00;0;17,9;-;-
Molde - Hindalsrøra;SN62295;16.06.2023 07:00;0;11,2;-;-
Molde - Hindalsrøra;SN62295;16.06.2023 19:00;0;16,5;-;-
Molde - Hindalsrøra;SN62295;17.06.2023 07:00;0;10,9;-;-
Molde - Hindalsrøra;SN62295;17.06.2023 19:00;0,1;18,6;-;-
Molde - Hindalsrøra;SN62295;18.06.2023 07:00;0;15;-;-
Molde - Hindalsrøra;SN62295;18.06.2023 19:00;0;22,5;-;-
Molde - Hindalsrøra;SN62295;19.06.2023 07:00;0,1;17,6;-;-
Molde - Hindalsrøra;SN62295;19.06.2023 19:00;0;20,8;-;-
Molde - Hindalsrøra;SN62295;20.06.2023 07:00;0;17,8;-;-
Molde - Hindalsrøra;SN62295;20.06.2023 19:00;0,1;21,2;-;-
Molde - Hindalsrøra;SN62295;21.06.2023 07:00;0;18,4;-;-
Molde - Hindalsrøra;SN62295;21.06.2023 19:00;0;17,5;-;-
Molde - Hindalsrøra;SN62295;22.06.2023 07:00;0,6;14,9;-;-
Molde - Hindalsrøra;SN62295;22.06.2023 19:00;0,1;12,4;-;-
Molde - Hindalsrøra;SN62295;23.06.2023 07:00;9,6;8,9;-;-
Molde - Hindalsrøra;SN62295;23.06.2023 19:00;0;11,9;-;-
Molde - Hindalsrøra;SN62295;24.06.2023 07:00;0;11,1;-;-
Molde - Hindalsrøra;SN62295;24.06.2023 19:00;0;18,4;-;-
Molde - Hindalsrøra;SN62295;25.06.2023 07:00;0;14,6;-;-
Molde - Hindalsrøra;SN62295;25.06.2023 19:00;0,1;23,4;-;-
Molde - Hindalsrøra;SN62295;26.06.2023 07:00;0;17,6;-;-
Molde - Hindalsrøra;SN62295;26.06.2023 19:00;0;21,3;-;-
Molde - Hindalsrøra;SN62295;27.06.2023 07:00;0,2;13,5;-;-
Molde - Hindalsrøra;SN62295;27.06.2023 19:00;0;12,2;-;-
Molde - Hindalsrøra;SN62295;28.06.2023 07:00;0;13;-;-
Molde - Hindalsrøra;SN62295;28.06.2023 19:00;0;15,1;-;-
Molde - Hindalsrøra;SN62295;29.06.2023 07:00;3,2;10,4;-;-
Molde - Hindalsrøra;SN62295;29.06.2023 19:00;0;12,9;-;-
Molde - Hindalsrøra;SN62295;30.06.2023 07:00;11,5;11;-;-
Molde - Hindalsrøra;SN62295;30.06.2023 19:00;0;13,3;-;-
Molde - Hindalsrøra;SN62295;01.07.2023 07:00;0,1;12,4;-;-
Molde - Hindalsrøra;SN62295;01.07.2023 19:00;0;17,3;-;-
Molde - Hindalsrøra;SN62295;02.07.2023 07:00;0;14,8;-;-
